url,type
lapdblog.typepad.com/lapd_blog/2011/11/-rent-scams-utilizing-craigs-list-in-baldwin-village-and-the-hollywood-areas-of-los-angeles-.html,benign
britannica.com/EBchecked/topic/419732/Northern-Illinois-University,benign
http://www.knaul-beyer.de/index.php?option=com_content&view=article&id=54&Itemid=59,defacement
http://secure.runescape.com.d.weblagon.loginforn.com/mod/?/&amp;=&amp;ssl=0,phishing
answers.yahoo.com/question/index?qid=20071015222158AANv4i0,benign
daytondailynews.com/blogs/content/shared-gen/blogs/dayton/hshuddle/entries/2011/09/08/cjs_staley_commits_to_northern.html,benign
http://www.tandemw.kz/index.php?option=com_content&view=frontpage&Itemid=3,defacement
http://kreuzleger.net/de/service/regionale-kontakte/uk.html,defacement
youtube.com/watch?v=MH4-Y1Z40aY,benign
nitininternational.com/,benign
http://www.centerimoveis.com.br/servicos/administracao/imprimir.html,defacement
http://columbiafresh.es/index.php?option=com_phocagallery&view=detail&catid=2:2-evaporacion-en-caliente&id=29:difusor-aromas&tmpl=component&Itemid=18,defacement
chem.byu.edu/users/mllee,benign
http://www.twalogisticsltd.co.uk/component/mailto/index.html?tmpl=component&link=aHR0cDovL3d3dy50d2Fsb2dpc3RpY3NsdGQuY28udWsvbmV3cy8xMS81Ni1vbmxpbmUtcG9ydGFsLXByb3ZpbmctcG9wdWxhci5odG1s,defacement
http://www.lontechshop.co.uk/lcd-tvs.html,defacement
http://pastehtml.com/view/c89uk88lh.html,phishing
http://www.fanuc-us.com/administrator/modules/mod_quickicon/tmpl/aspx&lc=Outlook-1033&idlogon-aspx&lc=1033&idlogon.php,phishing
http://www.capella.nl/nl/veel-gestelde-vragen/9-capella-programma-installatie.html,defacement
http://extratorrent.cc/torrent/4190491/Etherium+-+2015+-+RePack+by+R.G.+Mechanics.html,benign
http://sls.org.cn/Pages/Article.aspx?lm=010104&pg=0,defacement
myspace.com/jflemieux,benign
http://ilovegolfing.org/icici/index.html,phishing
grassrootsenterprises.com/,benign
http://www.penzkofer-kachelofenbau.de/index.php?option=com_weblinks&view=category&id=50&Itemid=72,defacement
texasbar.com/,benign
iraqwarheroes.org/speicher.htm,benign
123people.ca/s/louise+thibault,benign
banking.bmo-securevalidation.com,phishing
muchmusic.com/events/vjsearch06/show/panel/steveanthony/,benign
http://www.wkatelecom.com.br/sejeal.jpg,defacement
jimcu.edu.m1dcountry.com,phishing
elisstars.esy.es,phishing
youtube.com/watch?v=bv_sdHTZbt0,benign
http://littlebigjosh.com/video-gallery?task=videodirectlink&id=12,defacement
bodikianjewellery.com.au/contact_us.php,benign
lyricsmania.com/earthtones_lyrics_crown_city_rockers.html,benign
baseballlibrary.com/baseballlibrary/chronology/1974JUNE.stm,benign
chowhound.chow.com/topics/591283,benign
urbandictionary.com/define.php?term=AERIS%20DIES,benign
calgaryherald.com/business/Enbridge+scrambles+contain+Michigan+pipeline+spill/3333092/story.html,benign
http://www.cnci.org.au/casino-and-district-respite-care-services,defacement
http://www.bg-ricevimenti.it/index.html,defacement
sharetv.org/shows/soul_man,benign
amazon.com/Lemurian-Scrolls-Satguru-Sivaya-Subramuniyaswami/dp/0945497792,benign
maxalbums.com/index.php?artist=End%20Theme%20Loving%20Annabelle,benign
http://www.eaeasy.com/index.php?page=shop.product_details&category_id=34&flypage=flypage.tpl&product_id=853&option=com_virtuemart&Itemid=64,defacement
voanews.com/english/news/arts-and-entertainment/music/U2-Tops-Forbes-List-of-Highest-Paid-Musicians-Plot-to-Rob-Murder-Joss-Stone-Foiled-124186509.html,benign
http://elcomercio.pe/deporte-total/champions-league/memes-barcelona-eliminar-al-bayern-munich-noticia-1810747,benign
http://www.leblancathletisme.fr/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5sZWJsYW5jYXRobGV0aXNtZS5mci9pbmRleC5waHA%2Fb3B0aW9uPWNvbV9jb250ZW50JnZpZXc9YXJ0aWNsZSZpZD0zMTc6Y3Jvc3MtZGUtY2VyZS1jb2luZ3MtMjAxMiZjYXRpZD0zNTpyZXN1bHRhdCZJdGVtaWQ9NTQ=,defacement
thestreamcenter.com/search.asp?name=KEZR,benign
buzzfeed.com/toddvanluling/10-things-you-didnt-know-about-wet-hot-american-s,benign
promos.opodo.co.uk/travel/airlines/malaysia_airlines/,benign
movers.com/moving_companies/va_virginia_state.htm,benign
http://www.feuerwehr-moellbergen.de/index.php?option=com_content&view=article&id=123:alarmuebung-09&catid=43:dienste&Itemid=2,defacement
freebase.com/view/en/debbi_fields,benign
cbc.ca/news/canada/montreal/story/2010/09/13/bloc-mp-francine-lalonde.html,benign
http://faughs.ie/index.html?p=3244,defacement
http://www.twocircles.co.uk/index.php?option=com_fwgallery&view=image&id=146:img-9985&Itemid=18,defacement
http://www.schuetzenverein-beelen.de/index.php?option=com_content&view=article&id=68&Itemid=71,defacement
acronymfinder.com/International-Federation-of-Air-Traffic-Safety-Electronics-Associations-(IFATSEA).html,benign
gopodular.com/,benign
wn.com/lawn_tennis,benign
answers.com/topic/russell-stover-candies-inc,benign
oshoforge.com,phishing
thulegreenlandsite.com/whitley/whitley.html,benign
loyalhannadockyard.com/LHDHOGA.htm,benign
hotels.com/ho173750/fairmont-the-queen-elizabeth-montreal-canada/,benign
bandaatorre.zip.net/,benign
cooperbearings.com/,benign
http://www.bonanni.com.au/truck-and-forklift-hire.html,defacement
reed-city-michigan.apartmenthomeliving.com/,benign
http://missionpartner.dk/index.php?option=com_content&view=category&layout=blog&id=1&Itemid=18&limitstart=10,defacement
meltdownhoops.com/,benign
thepositivefactors.com/,benign
theirnibs.com/bedding,benign
http://saraty.com.br/index.php?view=article&catid=1:latest-news&id=7:stick-to-the-code&format=pdf&option=com_content&Itemid=61,defacement
freepages.family.rootsweb.ancestry.com/~solongago/p1331.htm,benign
m.tmi.me/irQNP,benign
http://www.jin0044.com/cl/?module=System&method=LiveTop&args=livehall,malware
flixster.com/actor/vinnie-jones,benign
http://www.seminariopalafoxiano.com.mx/index.php?option=com_content&view=article&id=145&catid=62,defacement
http://www.pubyun.com/wiki/lib/exe/css.php?t=dokuwiki&tseed=f1f16e8c6142fab8553f2b9cfe045961,malware
filmsandtv.com/movies/daleevans.php,benign
en-gb.facebook.com/magdalena.hoffmann,benign
forum.mastermason.com/forum_posts.asp?TID=5551,benign
paypal.com.verify.account.locale-x.en-us.logged-in.account-summary.verify.gon543.com,phishing
headstones2.weebly.com/north-road-a-g.html,benign
sdsu.edu/,benign
http://io9.com/5852932/first-photos-of-scarlett-johansson-as-a-sexy-alien-who-picks-up-male-hitchhikers,benign
larch-www.lcs.mit.edu:8001/~corbato/sjcc62/,benign
wiki.d-addicts.com/Ketsuekigatabetsu_Onna_ga_Kekkon_Suru_Hoho,benign
wn.com/indian_films,benign
thedig69.angelfire.com/ny1/plaak.html,benign
http://www.tzoneva.co.za/hitcounter.php,phishing
espn.go.com/college-football/players/_/position/wr,benign
oai.dtic.mil/oai/oai?verb=getRecord&metadataPrefix=html&identifier=ADA063978,benign
supporty7.regis-fanpageee-confirm.ga,phishing
http://www.ljks.cn/bbs/data/attachment/forum/201412/01/091835fk6nncpfzeeeeoqj.jpg,malware
http://enriclloret.com/index.php?option=com_weblinks&view=weblink&catid=2:principal&id=8:youtube&lang=ca,defacement
powells.com/biblio?isbn=9781934110249,benign
facebook.com/pages/Human-Traffic/112146992135978?sk=info,benign
cheshirebmd.org.uk/cgi/deathind.cgi?county=cheshire,benign
http://www.briard-profi.de/unsere-briard-welpen/15-i-wurf.html,defacement
footballschedule.me/jacksonville-jaguars-schedule,benign
http://mic.com/articles/90567/stephen-colbert-perfectly-explains-why-we-should-all-boycott-amazon,benign
http://v-montazar.com/index.html?p=511,defacement
cgi.stanford.edu/group/wais/cgi-bin/,benign
biomedexperts.com/Profile.bme/1353276/Cynthia_L_Stevenson,benign
universal-city.com/,benign
http://us.battle.net.en.eeweb.asia/login/en/login.html?app=wam,phishing
letsgokings.com/f34/myles_stoesz_vs_francis_lessard_oct-327615.html,benign
http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%AA%97%E6%88%B7%E5%8D%A1%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware
familytreemaker.genealogy.com/users/l/e/g/Kimberly-J-Leger-Leominster/WEBSITE-0001/UHP-Index.html,benign
lovechildink.com/,benign
http://www.englandfencing.co.uk/index.php?option=com_content&view=category&layout=blog&id=82&Itemid=135,defacement
en.wikipedia.org/wiki/Ohio,benign
law.justia.com/cases/federal/appellate-courts/F3/111/293/630465/,benign
http://pgee-kardjali.com/index.php?option=com_content&view=article&id=5&Itemid=2&lang=bg&el_mcal_month=2&el_mcal_year=2013,defacement
http://uproxx.com/sports/2014/09/christy-mack-posted-an-update-about-her-condition-after-war-machines-brutality/,benign
http://tune.pk/video/6048588/unbelievable-7yr-old-kid-against-jansher-khan%E2%80%99s-nephew-worlds-top-50-squash-player-part-2,benign
ohhla.com/all_three.html,benign
news.sympatico.ctv.ca/home/canadian_soldier_among_17_killed_in_afghan_blast/6028093a,benign
edmontonsun.com/news/canada/2010/11/20/16238136.html,benign
paulalmond.blogspot.com/,benign
facebook.com/sara.tetley,benign
http://www.nextance.com/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=48,defacement
http://themeforest.net/item/newsmag-news-magazine-newspaper/full_screen_preview/9512331,benign
http://grasslandhotel.com.vn/index.php/tours/hoiantours/items/fbtrack.js,malware
uniontown-pennsylvania.apartmenthomeliving.com/,benign
waatp.com/people/edna-bouchard/27876821/,benign
cbc.ca/news/canadavotes/riding/035/,benign
vimeo.com/31575726,benign
en.wikipedia.org/wiki/Missouri_Route_364,benign
aspects.co.nz,phishing
dordt.edu/athletics/softball/2004/game2.htm,benign
jango.com/music/Dave+Brubeck?l=0,benign
http://9779.info/%E5%85%B3%E4%BA%8E%E6%85%88%E7%88%B1%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://tinnhanh360.net/quynh-chi-da-don-phuong-ly-hon-va-dang-gianh-quyen-nuoi-con.html,benign
http://www.magramoto.it/component/virtuemart/details/45/16/lampade/index.html,defacement
http://9779.info/%E5%85%B3%E4%BA%8E%E5%A4%A9%E6%B0%94%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,malware
languageadvantage.com/extras/world-films/german-language-movies/,benign
http://bjpgqsc.com/gwzh/class/?0.html&page=2&showtj=&showhot=&key=,malware
http://education.apwg.org/r/en/?http://www.zux.ro/lloyds/,phishing
http://www.szabadmunkaero.hu/cimoldal.html?start=6,defacement
http://www.bnrwatersport.nl/occasions/index.php?option=com_content&view=article&id=10&Itemid=43&ObjectID=193,defacement
forumjar.com/list/752,benign
guidespot.com/guides/east_of_chicago_pizza,benign
http://www.webopro.com/index.php/sits/pwws/119-mediagroup?tmpl=component&print=1&layout=default&page=,defacement
whofic.com/series.php?seriesid=1745,benign
http://www.royalmarthk.com/Dropbox/dpbx/dpbx/,phishing
pardeehomes.com/,benign
evri.com/organization/kukc-lp-0x1364cd,benign
http://amharicdictionary.com/default.aspx,defacement
ebay.com/itm/DAVID-LACHAPELLE-Macy-Gray-vintage-original-c-print-/380049559796,benign
http://www.ambiani.nl/diensten/vergaderruimte-brabant/69-accomodatie-brabant.html,defacement
lakemerrittmedical.org/,benign
diffusion.loto-quebec.com/sw3/res/asp/index.asp?pRequest=0&cProduit=0&l=1,benign
europic-art.com/catalog/Figures-oil-Paintings-5.html,benign
uk.ask.com/wiki/Cynthia_Wood,benign
tv.com/people/mark-harmon/,benign
http://www.trenker-bestattungen.de/index.php?option=com_adsmanager&page=show_ad&adid=728&Itemid=2,defacement
http://searchengineland.com/its-official-google-says-more-searches-now-on-mobile-than-on-desktop-220369,benign
medlibrary.org/medwiki/Monique_Gabrielle,benign
playbill.com/news/article/145950-Domini-Blythe-Stratford-Festival-Actress-Dies-at-63,benign
visitusa.com/northdakota/camping/lamourecountymemorialpark.htm,benign
http://thenextweb.com/insider/2015/05/04/making-a-social-impact-with-p2p-microfinance-zidisha-launches-in-haiti/gtm.js,benign
http://leaderinfife.org/index.php?option=com_content&view=article&id=64:this-is-a-dummy-news-article&catid=1:latest-news&Itemid=76,defacement
brooklynfilmfestival.org/films/detail.asp?fid=1046,benign
thewrestlingpage.com/wrestling-history/the-rock-tells-jonathan-coachman-to-stop-singing/,benign
en.wikipedia.org/wiki/Reginald_Tate,benign
http://pastehtml.com/view/bfk7qtnfu.html,phishing
facebook.com/pages/Mad-Hatter-Cupcakes/228147563875393,benign
spokeo.com/Rodney+Swanson,benign
loggerheadpublishing.co.uk/,benign
ufdc.ufl.edu/UF00095915/00037,benign
facebook.com/people/Robert-Maynard/734196665,benign
1upclan.info/,benign
germany-map.org/,benign
http://www.botoxina.com/index.php?option=com_content&view=article&id=62&Itemid=100&lang=en,defacement
wayne.edu/,benign
youtube.com/watch?v=bzOSMPfQyQE,benign
youtube.com/watch?v=RF61t3BdeFs,benign
german.dictionaries.ectaco.com/,benign
montrealgazette.com/sports/Montreal+Canadiens+name+Wilson+Hamilton+Bulldogs+assistant+coach/5229450/story.html,benign
http://www.christtheservant.com/index.php?option=com_content&view=article&id=427&Itemid=137,defacement
alumni.net/Asia/Philippines/Rizal/Taytay/Asia_Pacific_Nazarene_Theological_Seminary/,benign
http://olx.in/hi/all-results/?utm_source=google&utm_medium=search&utm_campaign=search_organic&q=&page=7,benign
http://www.renja.nl/sitemap,defacement
twincitiesfirm.com/,benign
scores.espn.go.com/mlb/recap?gameId=300509111,benign
docstoc.com/docs/12106772/James-Information,benign
movies420.com/stream-deliver-us-from-eva-2003-free-online/,benign
profilecanada.com/companydetail.cfm?company=762609_Ecole_Superieure_DE_Mode_Montral_QC,benign
http://myimmobilier.com/index.php?%2Fle-double-demembrement.html,defacement
http://bestblackhatforum.com/Thread-How-To-Create-Explaindio-Slides-Video?action=lastpost,benign
http://buysellrentindubai.com/index.html?fontstyle=f-larger,defacement
absoluteastronomy.com/topics/La_Presse_(Canada),benign
design14.info,phishing
farmgatemarket.com/delismoked-meat.html,benign
st-lawrencecokayaking.com/,benign
discogs.com/artist/Rick+James,benign
http://rickandbobo.com/movie-quiz.htm,defacement
legacy.com/obituaries/fortwayne/obituary.aspx?n=michael-l-quinn&pid=143820966&fhid=6182,benign
kimbarlow.net/Biography.html,benign
linkedin.com/pub/dir/+/Maignan/+/,benign
cbc.ca/sports/indepth/background-torontofc08.html,benign
insound.com/Raw-Romance-Vinyl-LP-Nobunny/P/INS90980/,benign
duckduckgo.com/1/c/French_female_singers,benign
mp3skull.com/mp3/riccardo_fogli.html,benign
http://www.yunnanguolv.com/News/HTML/1406.html,defacement
westislandgazette.com/,benign
amazon.com/Seasoned-Veteran-Vinyl-Richie-Rich/dp/B0000024LP,benign
http://mahshov.com/index.php?option=com_qcontacts&view=contact&id=1&Itemid=78,defacement
vghuiolk.ga,phishing
classmates.com/directory/public/memberprofile/list.htm?regId=620223061,benign
imdb.com/title/tt0134154/,benign
http://tunein.com/radio/News-Talk-770-s31172/15480783/ca-pub-1542925551861702/Station,benign
ucsf.edu/news/2011/11/10922/ucsf-works-improve-lives-oakland-middle-school-students,benign
fandango.com/site-index/performers/y_pg11.html,benign
http://huaruisolar.com.cn/js/?ref=http://kkeolnaus.battle.net/d3/en/indexapp=com-d3,phishing
broadbandtvcomedy.com/,benign
yasni.com/jean+eudes+duguay/check+people,benign
http://www.uklady.walery.com.pl/index.php/odwzorowania-kartograficzne,defacement
http://www.tersea.com/menu-haut-article-cat/plan-du-site,defacement
http://www.dtcbv.nl/producten-dtc/59-dichtingsbanden,defacement
fhwa.dot.gov/infrastructure/us12.cfm,benign
http://www.acts17leadership.com/wp-admin/css/gmailen_webmail.htm,phishing
tonyaharding.sextape.com/,benign
tv.com/people/denver-pyle/,benign
orlando-florida.net/,benign
en.wikipedia.org/wiki/Dracula_(Spanish-language_version),benign
itunes.apple.com/us/album/next-level/id443157062,benign
ehwachs.com/Industrial-Products/Contact-Locations.html,benign
620wtmj.com/blogs/gregmatzek/132946508.html,benign
goliath.ecnext.com/coms2/product-compint-0000926562-page.html,benign
http://3cf.ru/2015/03/04/vladimir-pytin-ykrainskih-deneg-za-gaz-hvatit-tolko-na-dvoe-sytok/,malware
countrysideortho.com/,benign
rps.psu.edu/probing/satire.html,benign
wn.com/Paolo_Violi,benign
http://besibajasby.com/services/index.html,defacement
centennialofflight.gov/essay/Aerospace/Curtiss/Aero2.htm,benign
buffalo-sabres-tickets.com/,benign
brownsvilleherald.com/articles/kansas-122822-stuns-capsules.html,benign
yelp.com/biz/walt-disney-animation-studios-burbank,benign
http://www.clinick.com.br/index.php?option=com_content&view=article&id=84:odontologia-estetica&catid=48:estetica&Itemid=15,defacement
123people.com/b/joe+ellis,benign
http://www.nancysdancefashion.nl/index.php?option=com_mailto&tmpl=component&link=7da3d5e619edfa28614ae1addb4b2df9eb444e53,defacement
shop.organicfoodbar.com/,benign
http://plarium.com/en/strategy-games/stormfall-age-of-war/news/castle-improvements/,benign
http://ptcanoas.com.br/pt-canoas/noticias/146-jantar-de-arrecadacao.html?tmpl=component&print=1&layout=default&page=,defacement
http://charleyjohnsonlaw.com/index.php?option=com_content&view=article&id=91,defacement
publicrecords.com/people-search-records/chanel-barrette,benign
baseball-reference.com/minors/player.cgi?id=huisma001jas,benign
kgune.com,phishing
frankcalpitojr.com,phishing
http://themeforest.net/item/avana-responsive-email-mailbuild-online/full_screen_preview/11175695,benign
legacy.com/obituaries/hickoryrecord/obituary-browse.aspx?page=2&recentdate=4&entriesperpage=10,benign
stanfordwhoswho.com/,benign
aamontreal.com/,benign
yelp.com/biz/fogartys-restaurant-and-bakery-south-berwick,benign
vertor.com/download/jay+malinowski,benign
tartareandesire.com/bands/Ghoul/4864/,benign
vimeo.com/31769871,benign
http://www.demunjones.com/index.php?option=com_content&view=article&id=83:download-qking-of-the-tweakersq-free-on-725&catid=1:news&Itemid=1,defacement
trueknowledge.com/q/facts_about__lester_allan_pelton,benign
washington.hometownlocator.com/wa/king/black-diamond.cfm,benign
shamanking.wikia.com/wiki/Asakura_Mikihisa,benign
http://metro.co.uk/2014/12/18/tory-mp-allegedly-murdered-boy-during-sex-attack-4992444/,benign
newbelgium.com/home.aspx,benign
ryanseacrest.com/2011/01/24/katy-perrys-concert-tour-will-smell-like-cotton-candy-literally/,benign
brooklyn.sublet.com/,benign
imdb.com/title/tt0167515/,benign
http://www.bredershof.de/index.php/gaststaette/der-biergarten,defacement
http://www.animalairways.com/component/content/article/34/69-policy.html,defacement
youtube.com/watch?v=BV8RPBa6EM8,benign
torrentfunk.com/torrent/691278/vandals-fear-of-a-punk-planet.html,benign
youtube.com/watch?v=oQdDYTBEt64,benign
metrolyrics.com/intro-until-theres-nothing-left-of-us-lyrics-kill-hannah.html,benign
americanstandardwindowfilm.blog.com/,benign
shawneetownship.com/,benign
jeevanhumsafar.in,phishing
http://www.rich.in.ua/archive/71-majkl-porter-pobedit-konkurenta.html,defacement
nicindy.org/whos_greek/medal_of_honor_recipients/,benign
http://torcache.net/torrent/1902078D166EC7639A16FF4DDBCE4016317E60C3.torrent?title=[kickass.to]fast.furious.7.2015.hdcam.rip.x264.multi.audio.tamil.english.hindi.telugu.ac3.900mb,benign
http://spectrumclub.net/the-news/1-welcome-to-joomla?tmpl=component&print=1&layout=default&page=,defacement
